class_1,Collinsella,Butyricimonas,Weissella,Lachnospiraceae.UCG.004,Ruminococcaceae.UCG.004,UBA1819,Allisonella,Erysipelatoclostridium,Fusicatenibacter,Christensenellaceae.R.7.group
IRFL,0,0,33.82352941,0,12.74509804,21.07843137,0,32.35294118,0,0
IRFL,0,0,95.35519126,0,1.092896175,0,0,0,0,3.551912568
IRFL,5.405405405,0,0,0,8.783783782,0,0,0,57.43243243,28.37837838
IRFL,0,29.31034483,0,0,0,0,25.86206897,0,0,44.82758621
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,8.074534162,14.28571429,0,72.67080745,0,0,0,0,0,4.9689441
IRFL,0,0,0,46.32352942,14.70588235,0,24.26470588,0,14.70588235,0
IRFL,0,36.28318584,0,0,0,0,0,0,0,63.71681416
IRFL,0,67.74193549,0,0,0,0,0,0,0,32.25806451
IRFL,0,0,0,10.56478405,0,4.850498338,0,0.398671096,84.18604651,0
IRNF,0,0.963391137,0,0,0,29.1586384,0,55.36287733,10.72575466,3.789338472
IRFL,0,21.27659575,0,78.72340425,0,0,0,0,0,0
IRFL,0,0,0,68.40148698,0,0,0,0,31.59851302,0
IRFL,0,55,0,15.76923077,0,0,0,0,8.076923074,21.15384616
IRNF,0,16.86746988,0,0,0,0,0,0,0,83.13253012
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,16.45569619,0,0,0,4.430379747,2.531645571,0,55.06329115,21.51898734
IRNF,1.342281879,18.12080537,14.76510067,21.47651007,0,0,10.73825503,0,0,33.55704698
IRNF,0,17.33333333,66.66666666,0,0,0,0,0,0,16
IRNF,0,0,35.39823008,0,0,0,0,0,52.65486726,11.94690266
IRNF,1.519756839,3.221884498,0,0,0,0.729483283,0,0,1.884498481,92.6443769
IRFL,0,0,20.32967033,0,0,0,0,0,58.24175824,21.42857143
IRNF,35.29411765,4.575163398,1.960784314,0,0,33.66013072,0,24.50980392,0,0
IRFL,0,3.238866395,62.8340081,0,0,3.967611335,0,0,17.40890688,12.55060729
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,0,1.996370236,9.074410164,0,0,2.540834845,0,0,1.63339383,84.75499093
IRNF,0,2.515723271,0,9.119496857,0,6.918238993,0,0,38.67924528,42.7672956
IRFL,0,28.88888888,0,0,71.11111112,0,0,0,0,0
IRFL,0,37.70491803,0,0,0,0,0,0,0,62.29508197
IRNF,0,15.11254019,0,64.30868168,0,0,0,0,10.93247588,9.64630225
IRFL,0,0,0,58.44155845,0,0,0,0,41.55844155,0
IRFL,0,0,0,0,0,0,5.072463768,0,91.78743961,3.140096619
IRFL,0,4.663212436,0,0,4.14507772,0,45.59585492,0,0,45.59585492
IRNF,6.352087113,1.08892922,0,0,4.718693287,5.626134302,0,0,46.09800361,36.11615246
IRFL,0,2.666666667,0,58.66666667,0,0,0,0,11.33333333,27.33333333
IRFL,0,0,0,0,0,0,0,0,0,100
IRNF,0,10.71428571,0,0,0,0,0,0,0,89.28571429
IRFL,0,0,0,0,0,16.15384615,0,7.692307696,76.15384615,0
IRNF,0,0,0,100,0,0,0,0,0,0
IRNF,0,0.117096019,0,12.58782201,0.93676815,0,0,1.522248243,6.615925057,78.22014052
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,43.62017804,0,28.78338279,0,0,0,3.264094956,24.33234421,0
IRNF,0,4.615384613,0,0,6.153846154,0,0,0,41.53846155,47.69230769
IRNF,0,4.032258065,0,0,8.064516128,0,0,0,54.83870968,33.06451613
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,16.66666667,0,0,0,0,0,0,83.33333333,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,78.26086957,21.73913043
IRFL,0,4.504504505,0,7.657657656,4.504504505,0,10.81081081,0,67.11711711,5.405405408
IRFL,0,0,0,56.71641792,0,22.3880597,20.89552238,0,0,0
IRFL,0,0,0,0,0,0,0,100,0,0
IRFL,0,0,0,44.30894309,0,0,0,0,55.69105691,0
IRFL,0,6.825938566,4.09556314,84.3003413,0,0,0,0,0,4.778156996
IRFL,0,30.86419753,0,0,0,0,0,0,20.37037037,48.7654321
IRFL,0,0,10.84337349,0,0,0,0,0,0,89.15662651
IRFL,18.13186813,4.945054945,0,32.96703297,0,0,0,10.98901099,32.96703297,0
IRFL,0,0,0,55.84415584,0,0,27.01298701,0,17.14285714,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRNF,0,0,18.08346213,0,3.091190109,0,0,0,4.636785163,74.1885626
IRNF,0,0,0,0,0,0,0,0,0,0
IRNF,0,11.11111111,0,0,0,0,0,0,0,88.88888889
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,41.4507772,0,0,0,0,58.5492228,0
IRFL,0,0,0,0,0,0,0,0,71.02272728,28.97727272
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,29.28176796,5.524861878,0,1.657458564,13.81215469,0,0,49.72375691,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,18.75000001,0,0,0,0,0,81.24999999,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,6.250000002,28.00925926,0,0,0,0,0,23.37962963,42.36111111
IRFL,0,24.88038278,9.808612438,16.74641148,0,0,0,0,11.96172249,36.60287082
IRFL,0,10.5263158,0,89.4736842,0,0,0,0,0,0
IRFL,2.614379085,15.03267974,0,32.67973856,0,0,0,0,30.06535948,19.60784313
IRFL,0,4.528301888,5.283018866,64.52830189,11.69811321,0,0,0,7.169811321,6.792452832
IRFL,0.699300699,12.93706294,0,8.041958047,0,0,13.28671329,0,16.43356643,48.60139859
IRFL,0,0,0,0,100,0,0,0,0,0
IRFL,0,5.465288034,2.954209749,0,0,0,4.431314623,0,6.056129985,81.09305761
IRNF,0,4.409448818,0,28.97637796,3.307086614,0,4.251968507,0,37.32283464,21.73228346
IRFL,0,0,0,64.87455198,0,0,0,0,35.12544802,0
IRNF,0,0,0,28.57142856,0,71.42857144,0,0,0,0
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,0,0,0,49.62406015,0,0,0,50.37593985,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,8.95522388,0,0,91.04477612,0,0,0,0,0,0
IRFL,0,0,15.38461539,0,0,0,0,0,25.27472527,59.34065934
IRNF,0,0,43.75,0,5,0,0,0,35,16.25
IRFL,0,4.411764706,0,30.39215687,0,0,5.882352944,0,59.31372548,0
IRFL,0,7.196969698,0,36.36363637,0,0,0,0,56.43939394,0
IRNF,0,22.72727273,0,24.62121212,0,4.924242424,0,0,11.74242424,35.98484849
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,8.661417328,7.611548555,0,0,0,0,11.54855643,0,26.77165354,45.40682414
IRFL,0,0,0,14.63414635,0,0,0,0,7.804878049,77.5609756
IRFL,0,0,0,40.71428572,0,0,0,0,59.28571428,0
IRFL,0,0,0,62.66375545,0,0,0,0,37.33624455,0
IRFL,0,0,0,97.57785467,0,0,0,2.422145329,0,0
IRFL,0,0,0,100,0,0,0,0,0,0
IRNF,0,5.249343833,0,17.32283464,0,0,0,0,0,77.42782152
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,27.52808989,0,0,37.64044943,0,0,34.83146067
IRNF,9.795918367,64.48979592,0,0,2.448979592,0,0,0,0,23.26530612
IRFL,0,0,0,0,100,0,0,0,0,0
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,0,65.93406594,0,0,5.494505495,13.73626373,0,14.83516483,0,0
IRNF,0,24.12451362,0,0,0,0,0,26.45914396,28.40466926,21.01167315
IRFL,0,14.52991453,0,0,0,0,9.401709401,0,59.82905983,16.23931623
IRFL,0,0,100,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,0,0,0,0,0,0,0,0,100,0
IRNF,0,0,0,0,1.886792453,0,0,0,0,98.11320755
IRFL,45.57823129,0,8.163265307,0,0,0,3.401360544,0,18.36734694,24.48979592
IRFL,0,0,0,0,0,0,0,0,0,100
IRNF,0,2.923976609,0,30.70175439,3.801169588,0,0,0,16.08187135,46.49122807
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,77.25072604,2.323330107,0,0,4.259438529,16.16650533,0
IRFL,0,0,61.8729097,0,0,0,0,0,38.1270903,0
IRFL,0,0,0,74.74747475,0,0,0,0,25.25252525,0
IRFL,0,0,71.42857143,28.57142857,0,0,0,0,0,0
IRNF,0,24.43609022,0,0,2.255639097,0,0,0,0,73.30827068
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,0,0,0,22.06572771,0,0,0,0,71.83098591,6.103286385
IRFL,38.98305085,0,0,0,0,0,0,0,44.06779661,16.94915255
IRFL,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,100
IRFL,0,59.88700565,0,0,0,0,16.38418079,0,23.72881356,0
IRFL,35.97359736,16.17161716,0,0,0,0,9.240924089,0,0,38.61386138
IRNF,18.26484018,17.80821918,0,25.11415525,0,0,0,0,15.06849315,23.74429224
IRFL,3.952569172,0,4.743083006,0,0,0,0,0,50.19762845,41.10671937
IRFL,9.279475982,1.200873362,0,51.52838428,2.401746725,0,35.58951965,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0.877192982,0,0,0,4.385964912,0,10.08771929,0,42.10526316,42.54385965
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,0,5.528846157,3.365384616,25.48076923,0,0,0,0,0,65.62499999
IRNF,0,0,0,0,0,0,100,0,0,0
IRFL,0,5.882352941,0,0,0,15.12605042,35.29411764,0,43.697479,0
IRFL,0,0,0,0,0,0,0,53.70370371,46.29629629,0
IRNF,40.74074074,0,0,59.25925926,0,0,0,0,0,0
IRNF,0,0,22.77227723,77.22772277,0,0,0,0,0,0
IRFL,0,0,0,56.5055762,0,0,0,0,43.4944238,0
IRFL,0,0,0,76.62337662,7.142857144,0,0,0,16.23376624,0
IRFL,0,10.52631579,0,89.47368421,0,0,0,0,0,0
IRFL,0,0,0,63.41463414,0,0,0,0,13.82113821,22.76422765
IRNF,0,37.89473684,0,0,0,0,0,0,62.10526316,0
IRFL,0,0,0,0,0,0,100,0,0,0
IRFL,0,100,0,0,0,0,0,0,0,0
IRFL,53.57142857,0,0,46.42857143,0,0,0,0,0,0
IRFL,0,14.72868217,0,0,0,0,0,0,41.08527132,44.18604652
IRFL,0,0,0,0,0,0,0,100,0,0
IRNF,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,100,0
IRFL,100,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,47.24770642,0,0,0,0,21.10091742,31.65137615
IRFL,0,0,0,85.10638298,0,0,14.89361702,0,0,0
IRNF,0,0,0,100,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,0,0,0,0,0,0,0,0,0
IRFL,0,41.17647058,0,0,0,22.54901961,0,0,0,36.2745098
IRFL,0,0,100,0,0,0,0,0,0,0
